,change,daily_sentiment_score,date
5,-12.55,3.555555555555556,2023-12-04
7,-10.63,22.187500000000004,2023-12-06
10,-8.79,0.0,2023-12-11
16,-4.73,9.967906678727571,2023-12-19
17,-14.93,8.275741409351367,2023-12-20
18,8.79,2.5723990683229823,2023-12-21
20,4.49,4.336419753086421,2023-12-26
28,31.56,35.44444444444444,2024-01-08
29,8.87,20.0,2024-01-09
31,4.72,4.853275401069518,2024-01-11
33,16.72,-15.392857142857144,2024-01-16
35,10.54,13.754884004884005,2024-01-18
36,23.84,-5.165040675910242,2024-01-19
37,1.63,4.011904761904761,2024-01-22
39,14.89,31.666666666666664,2024-01-24
40,2.55,7.307674963924963,2024-01-25
41,-5.86,14.372294372294371,2024-01-26
43,3.09,4.087301587301587,2024-01-30
44,-12.47,4.3478260869565215,2024-01-31
47,31.72,10.0,2024-02-05
48,-11.09,18.333333333333336,2024-02-06
50,-4.58,6.128389785797193,2024-02-08
51,24.92,4.12916366041366,2024-02-09
52,1.15,9.878344815609253,2024-02-12
53,-1.2,9.462476757414775,2024-02-13
54,17.72,17.77080687830688,2024-02-14
55,-12.42,40.0,2024-02-15
56,-0.45,50.0,2024-02-16
57,-31.61,10.568502426223015,2024-02-20
58,-19.8,6.05717190942447,2024-02-21
59,110.66,9.273008084087628,2024-02-22
60,2.79,14.902743652743656,2024-02-23
61,2.75,14.931972789115648,2024-02-26
62,-3.91,-1.388888888888889,2024-02-27
63,-10.38,0.0,2024-02-28
64,14.49,7.969322344322344,2024-02-29
65,31.67,-4.7738095238095255,2024-03-01
66,29.58,10.074074074074074,2024-03-04
68,27.36,18.848302122408544,2024-03-06
69,39.69,8.655864197530864,2024-03-07
70,-51.41,3.3854166666666674,2024-03-08
71,-17.54,-10.914351851851853,2024-03-11
72,61.39,9.653124999999998,2024-03-12
74,-29.44,10.556367243867244,2024-03-14
76,6.18,19.968434343434343,2024-03-18
77,9.43,7.575837742504409,2024-03-19
78,9.74,1.4407829893320965,2024-03-20
79,10.63,9.4202781015281,2024-03-21
80,28.54,6.25,2024-03-22
81,7.13,19.864718614718615,2024-03-25
82,-24.41,13.553030303030305,2024-03-26
83,-23.11,7.443244557374992,2024-03-27
87,-4.88,-2.6041666666666674,2024-04-03
90,-8.75,14.833333333333332,2024-04-08
91,-17.79,12.852698412698416,2024-04-09
93,35.77,53.333333333333336,2024-04-11
95,-21.85,12.5,2024-04-15
96,14.14,10.0453514739229,2024-04-16
97,-33.8,7.285714285714286,2024-04-17
99,-84.71,6.078431372549025,2024-04-19
104,51.03,-12.5,2024-04-26
106,-13.55,23.75,2024-04-30
107,-33.61,0.6568233353947638,2024-05-01
109,29.72,10.606060606060606,2024-05-03
112,-1.42,1.1809360344516595,2024-05-08
113,-16.65,0.0,2024-05-09
114,11.31,9.310151827648486,2024-05-10
116,9.57,10.0,2024-05-14
120,23.01,3.809523809523809,2024-05-20
