date,symbol,close
2014-01-02,NVDA,15.86
2014-01-03,NVDA,15.67
2014-01-06,NVDA,15.88
2014-01-07,NVDA,16.14
2014-01-08,NVDA,16.36
2014-01-09,NVDA,15.75
2014-01-10,NVDA,15.73
2014-01-13,NVDA,15.36
2014-01-14,NVDA,15.84
2014-01-15,NVDA,16.01
2014-01-16,NVDA,16.06
2014-01-17,NVDA,15.99
2014-01-21,NVDA,16.05
2014-01-22,NVDA,16.03
2014-01-23,NVDA,15.97
2014-01-24,NVDA,15.56
2014-01-27,NVDA,15.46
2014-01-28,NVDA,15.61
2014-01-29,NVDA,15.46
2014-01-30,NVDA,15.72
2014-01-31,NVDA,15.7
2014-02-03,NVDA,15.49
2014-02-04,NVDA,15.58
2014-02-05,NVDA,15.44
2014-02-06,NVDA,15.64
2014-02-07,NVDA,15.87
2014-02-10,NVDA,15.92
2014-02-11,NVDA,16.25
2014-02-12,NVDA,16.83
2014-02-13,NVDA,17.36
2014-02-14,NVDA,17.91
2014-02-18,NVDA,17.9
2014-02-19,NVDA,18.14
2014-02-20,NVDA,18.78
2014-02-21,NVDA,18.64
2014-02-24,NVDA,18.91
2014-02-25,NVDA,18.74
2014-02-26,NVDA,18.71
2014-02-27,NVDA,18.5
2014-02-28,NVDA,18.38
2014-03-03,NVDA,18.29
2014-03-04,NVDA,18.48
2014-03-05,NVDA,18.64
2014-03-06,NVDA,18.38
2014-03-07,NVDA,18.36
2014-03-10,NVDA,18.09
2014-03-11,NVDA,18.27
2014-03-12,NVDA,18.32
2014-03-13,NVDA,17.74
2014-03-14,NVDA,17.82
2014-03-17,NVDA,17.82
2014-03-18,NVDA,18.24
2014-03-19,NVDA,18.555
2014-03-20,NVDA,18.57
2014-03-21,NVDA,18.54
2014-03-24,NVDA,18.45
2014-03-25,NVDA,18.45
2014-03-26,NVDA,18.03
2014-03-27,NVDA,17.79
2014-03-28,NVDA,17.9
2014-03-31,NVDA,17.91
2014-04-01,NVDA,18.65
2014-04-02,NVDA,18.53
2014-04-03,NVDA,18.73
2014-04-04,NVDA,18.15
2014-04-07,NVDA,18.21
2014-04-08,NVDA,18.86
2014-04-09,NVDA,18.84
2014-04-10,NVDA,18.38
2014-04-11,NVDA,18.12
2014-04-14,NVDA,18.32
2014-04-15,NVDA,18.45
2014-04-16,NVDA,18.49
2014-04-17,NVDA,18.56
2014-04-21,NVDA,18.71
2014-04-22,NVDA,18.87
2014-04-23,NVDA,19.09
2014-04-24,NVDA,19.26
2014-04-25,NVDA,18.73
2014-04-28,NVDA,18.65
2014-04-29,NVDA,18.69
2014-04-30,NVDA,18.47
2014-05-01,NVDA,18.57
2014-05-02,NVDA,18.43
2014-05-05,NVDA,18.63
2014-05-06,NVDA,18.25
2014-05-07,NVDA,18.275
